Ativo,Ativo Meta,Empresa,Tendencia 200 dias,Gap Relevante 7 dias,Rompimento 20 dias,Topos e Fundos,SP500 em baixa,3 Balanço negativo,Setor Fragilizado,negativas de lucro (EPS),Short Float 10,ATR acima da média 3 meses,Histórico com gaps relevantes,próxima entrada,proximo Balanco,Total
UPS,UPS.NYSE,"United Parcel Service, Inc.",19.35,-15.05,30.11,0.0,0,0.0,0.0,0.0,0.0,0.0,46.24,2025-10-23,2025-10-28,80.65
LULU,LULU.NAS,lululemon athletica inc.,19.35,-15.05,30.11,0.0,0,0.0,0.0,0.0,0.0,-2.15,46.24,2025-09-01,2025-09-04,78.5
INTC,INTC.NAS,Intel Corporation,19.35,-15.05,30.11,0.0,0,0.0,0.0,0.0,0.0,-2.15,46.24,2025-07-21,2025-07-24,78.5
DOW,DOW.NYSE,Dow Inc.,19.35,-15.05,30.11,0.0,0,0.0,-3.23,0.0,0.0,0.0,46.24,2025-10-20,2025-10-23,77.42
MOH,MOH.NYSE,"Molina Healthcare, Inc.",19.35,-15.05,30.11,0.0,0,0.0,-3.23,0.0,0.0,-2.15,46.24,2025-10-17,2025-10-22,75.27
CNC,CNC.NYSE,Centene Corporation,19.35,-15.05,30.11,0.0,0,0.0,-3.23,0.0,0.0,-2.15,46.24,2025-10-21,2025-10-24,75.27
EPAM,EPAM.NYSE,"EPAM Systems, Inc.",19.35,-15.05,30.11,-12.9,0,0.0,0.0,0.0,0.0,0.0,46.24,2025-11-03,2025-11-06,67.75
LKQ,LKQ.NAS,LKQ Corporation,19.35,-15.05,30.11,-12.9,0,0.0,0.0,0.0,0.0,0.0,46.24,2025-07-21,2025-07-24,67.75
CHTR,CHTR.NAS,"Charter Communications, Inc.",0.0,-15.05,30.11,0.0,0,0.0,0.0,0.0,2.15,0.0,46.24,2025-07-22,2025-07-25,63.45
FDX,FDX.NYSE,FedEx Corporation,0.0,-15.05,30.11,0.0,0,0.0,0.0,0.0,0.0,0.0,46.24,2025-09-15,2025-09-18,61.3
IT,IT.NYSE,"Gartner, Inc.",0.0,-15.05,30.11,0.0,0,0.0,0.0,0.0,0.0,0.0,46.24,2025-07-31,2025-08-05,61.3
FTNT,FTNT.NAS,"Fortinet, Inc.",0.0,-15.05,30.11,0.0,0,0.0,0.0,0.0,0.0,0.0,46.24,2025-11-03,2025-11-06,61.3
NOW,NOW.NYSE,"ServiceNow, Inc.",0.0,-15.05,30.11,0.0,0,0.0,0.0,0.0,0.0,0.0,46.24,2025-07-18,2025-07-23,61.3
MCHP,MCHP.NAS,Microchip Technology Incorporated,0.0,-15.05,30.11,0.0,0,0.0,0.0,0.0,0.0,0.0,46.24,2025-08-04,2025-08-07,61.3
DIS,DIS.NYSE,The Walt Disney Company,0.0,-15.05,30.11,0.0,0,0.0,0.0,0.0,0.0,0.0,46.24,2025-08-01,2025-08-06,61.3
VRSK,VRSK.NAS,"Verisk Analytics, Inc.",0.0,-15.05,30.11,0.0,0,0.0,0.0,0.0,0.0,0.0,46.24,2025-10-24,2025-10-29,61.3
FI,FI.NYSE,"Fiserv, Inc.",0.0,-15.05,30.11,0.0,0,0.0,0.0,0.0,0.0,0.0,46.24,2025-10-16,2025-10-21,61.3
DRI,DRI.NYSE,"Darden Restaurants, Inc.",0.0,-15.05,30.11,0.0,0,0.0,0.0,0.0,0.0,-2.15,46.24,2025-09-22,2025-09-25,59.15
NFLX,NFLX.NAS,"Netflix, Inc.",0.0,-15.05,30.11,0.0,0,0.0,0.0,0.0,0.0,-2.15,46.24,2025-10-13,2025-10-16,59.15
CRM,CRM.NYSE,"Salesforce, Inc.",0.0,-15.05,30.11,0.0,0,0.0,0.0,0.0,0.0,-2.15,46.24,2025-08-29,2025-09-03,59.15
HPE,HPE.NYSE,Hewlett Packard Enterprise Company,0.0,-15.05,30.11,0.0,0,0.0,0.0,0.0,0.0,-2.15,46.24,2025-08-29,2025-09-03,59.15
HRL,HRL.NYSE,Hormel Foods Corporation,0.0,-15.05,30.11,0.0,0,0.0,0.0,0.0,0.0,-2.15,46.24,2025-08-25,2025-08-28,59.15
KMX,KMX.NYSE,"CarMax, Inc.",0.0,-15.05,30.11,0.0,0,0.0,0.0,0.0,0.0,-2.15,46.24,2025-09-19,2025-09-24,59.15
TSLA,TSLA.NAS,"Tesla, Inc.",0.0,-15.05,30.11,0.0,0,0.0,0.0,0.0,0.0,-2.15,46.24,2025-10-17,2025-10-22,59.15
K,K.NYSE,Kellanova,0.0,-15.05,30.11,0.0,0,0.0,0.0,0.0,0.0,-2.15,46.24,2025-10-27,2025-10-30,59.15
MCK,MCK.NYSE,McKesson Corporation,0.0,-15.05,30.11,0.0,0,0.0,-3.23,0.0,0.0,0.0,46.24,2025-10-31,2025-11-05,58.07
CVS,CVS.NYSE,CVS Health Corporation,0.0,-15.05,30.11,0.0,0,0.0,-3.23,0.0,0.0,0.0,46.24,2025-07-28,2025-07-31,58.07
VRTX,VRTX.NAS,Vertex Pharmaceuticals Incorporated,0.0,-15.05,30.11,0.0,0,0.0,-3.23,0.0,0.0,0.0,46.24,2025-07-30,2025-08-04,58.07
A,A.NYSE,"Agilent Technologies, Inc.",0.0,-15.05,30.11,0.0,0,0.0,-3.23,0.0,0.0,-2.15,46.24,2025-08-22,2025-08-27,55.92
STLD,STLD.NAS,"Steel Dynamics, Inc.",0.0,-15.05,30.11,0.0,0,0.0,-3.23,0.0,0.0,-2.15,46.24,2025-10-10,2025-10-15,55.92
POOL,POOL.NAS,Pool Corporation,19.35,-15.05,0.0,0.0,0,0.0,0.0,0.0,2.15,0.0,46.24,2025-10-20,2025-10-23,52.690000000000005
GPN,GPN.NYSE,Global Payments Inc.,19.35,-15.05,0.0,0.0,0,0.0,0.0,2.15,0.0,0.0,46.24,2025-10-24,2025-10-29,52.690000000000005
LW,LW.NYSE,"Lamb Weston Holdings, Inc.",19.35,-15.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,46.24,2025-09-25,2025-09-30,50.540000000000006
BLDR,BLDR.NYSE,"Builders FirstSource, Inc.",19.35,-15.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,46.24,2025-07-28,2025-07-31,50.540000000000006
WY,WY.NYSE,Weyerhaeuser Company,19.35,0.0,30.11,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-21,2025-07-24,49.46
ALB,ALB.NYSE,Albemarle Corporation,19.35,-15.05,0.0,0.0,0,0.0,-3.23,0.0,2.15,0.0,46.24,2025-07-25,2025-07-30,49.46
CMCSA,CMCSA.NAS,Comcast Corporation,19.35,0.0,30.11,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-27,2025-10-30,49.46
IEX,IEX.NYSE,IDEX Corporation,19.35,0.0,30.11,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-23,2025-10-28,49.46
ACN,ACN.NYSE,Accenture plc,0.0,-15.05,30.11,-12.9,0,0.0,0.0,0.0,0.0,0.0,46.24,2025-09-19,2025-09-24,48.4
PM,PM.NYSE,Philip Morris International Inc.,0.0,-15.05,30.11,-12.9,0,0.0,0.0,0.0,0.0,0.0,46.24,2025-10-16,2025-10-21,48.4
GDDY,GDDY.NYSE,GoDaddy Inc.,0.0,-15.05,30.11,-12.9,0,0.0,0.0,0.0,0.0,0.0,46.24,2025-11-03,2025-11-06,48.4
NKE,NKE.NYSE,"NIKE, Inc.",19.35,-15.05,0.0,0.0,0,0.0,0.0,0.0,0.0,-2.15,46.24,2025-09-25,2025-09-30,48.39
DLTR,DLTR.NAS,"Dollar Tree, Inc.",19.35,-15.05,0.0,0.0,0,0.0,0.0,0.0,0.0,-2.15,46.24,2025-08-28,2025-09-02,48.39
OXY,OXY.NYSE,Occidental Petroleum Corporation,19.35,0.0,30.11,0.0,0,0.0,0.0,0.0,0.0,-2.15,0.0,2025-08-01,2025-08-06,47.31
HUM,HUM.NYSE,Humana Inc.,19.35,-15.05,0.0,0.0,0,0.0,-3.23,0.0,0.0,0.0,46.24,2025-07-25,2025-07-30,47.31
