Ativo Meta,Empresa,Total,próxima entrada,proximo Balanco
UPS.NYSE,"United Parcel Service, Inc.",80.65,2025-10-23,2025-10-28
LULU.NAS,lululemon athletica inc.,78.5,2025-09-01,2025-09-04
INTC.NAS,Intel Corporation,78.5,2025-07-21,2025-07-24
DOW.NYSE,Dow Inc.,77.42,2025-10-20,2025-10-23
MOH.NYSE,"Molina Healthcare, Inc.",75.27,2025-10-17,2025-10-22
CNC.NYSE,Centene Corporation,75.27,2025-10-21,2025-10-24
EPAM.NYSE,"EPAM Systems, Inc.",67.75,2025-11-03,2025-11-06
LKQ.NAS,LKQ Corporation,67.75,2025-07-21,2025-07-24
CHTR.NAS,"Charter Communications, Inc.",63.45,2025-07-22,2025-07-25
FDX.NYSE,FedEx Corporation,61.3,2025-09-15,2025-09-18
IT.NYSE,"Gartner, Inc.",61.3,2025-07-31,2025-08-05
FTNT.NAS,"Fortinet, Inc.",61.3,2025-11-03,2025-11-06
NOW.NYSE,"ServiceNow, Inc.",61.3,2025-07-18,2025-07-23
MCHP.NAS,Microchip Technology Incorporated,61.3,2025-08-04,2025-08-07
DIS.NYSE,The Walt Disney Company,61.3,2025-08-01,2025-08-06
VRSK.NAS,"Verisk Analytics, Inc.",61.3,2025-10-24,2025-10-29
FI.NYSE,"Fiserv, Inc.",61.3,2025-10-16,2025-10-21
DRI.NYSE,"Darden Restaurants, Inc.",59.15,2025-09-22,2025-09-25
NFLX.NAS,"Netflix, Inc.",59.15,2025-10-13,2025-10-16
CRM.NYSE,"Salesforce, Inc.",59.15,2025-08-29,2025-09-03
HPE.NYSE,Hewlett Packard Enterprise Company,59.15,2025-08-29,2025-09-03
HRL.NYSE,Hormel Foods Corporation,59.15,2025-08-25,2025-08-28
KMX.NYSE,"CarMax, Inc.",59.15,2025-09-19,2025-09-24
TSLA.NAS,"Tesla, Inc.",59.15,2025-10-17,2025-10-22
K.NYSE,Kellanova,59.15,2025-10-27,2025-10-30
MCK.NYSE,McKesson Corporation,58.07,2025-10-31,2025-11-05
CVS.NYSE,CVS Health Corporation,58.07,2025-07-28,2025-07-31
VRTX.NAS,Vertex Pharmaceuticals Incorporated,58.07,2025-07-30,2025-08-04
A.NYSE,"Agilent Technologies, Inc.",55.92,2025-08-22,2025-08-27
STLD.NAS,"Steel Dynamics, Inc.",55.92,2025-10-10,2025-10-15
POOL.NAS,Pool Corporation,52.690000000000005,2025-10-20,2025-10-23
GPN.NYSE,Global Payments Inc.,52.690000000000005,2025-10-24,2025-10-29
LW.NYSE,"Lamb Weston Holdings, Inc.",50.540000000000006,2025-09-25,2025-09-30
BLDR.NYSE,"Builders FirstSource, Inc.",50.540000000000006,2025-07-28,2025-07-31
WY.NYSE,Weyerhaeuser Company,49.46,2025-07-21,2025-07-24
ALB.NYSE,Albemarle Corporation,49.46,2025-07-25,2025-07-30
CMCSA.NAS,Comcast Corporation,49.46,2025-10-27,2025-10-30
IEX.NYSE,IDEX Corporation,49.46,2025-10-23,2025-10-28
ACN.NYSE,Accenture plc,48.4,2025-09-19,2025-09-24
PM.NYSE,Philip Morris International Inc.,48.4,2025-10-16,2025-10-21
GDDY.NYSE,GoDaddy Inc.,48.4,2025-11-03,2025-11-06
NKE.NYSE,"NIKE, Inc.",48.39,2025-09-25,2025-09-30
DLTR.NAS,"Dollar Tree, Inc.",48.39,2025-08-28,2025-09-02
OXY.NYSE,Occidental Petroleum Corporation,47.31,2025-08-01,2025-08-06
HUM.NYSE,Humana Inc.,47.31,2025-07-25,2025-07-30
DXCM.NAS,"DexCom, Inc.",47.31,2025-10-27,2025-10-30
CRL.NYSE,"Charles River Laboratories International, Inc.",47.31,2025-10-31,2025-11-05
WST.NYSE,"West Pharmaceutical Services, Inc.",47.31,2025-10-20,2025-10-23
ALGN.NAS,"Align Technology, Inc.",47.31,2025-10-24,2025-10-29
DVN.NYSE,Devon Energy Corporation,47.31,2025-10-30,2025-11-04
PPG.NYSE,"PPG Industries, Inc.",46.230000000000004,2025-10-10,2025-10-15
WAT.NYSE,Waters Corporation,43.02,2025-10-28,2025-10-31
SWK.NYSE,"Stanley Black & Decker, Inc.",41.94,2025-10-24,2025-10-29
APTV.NYSE,Aptiv PLC,41.94,2025-10-27,2025-10-30
SWKS.NAS,"Skyworks Solutions, Inc.",41.94,2025-07-31,2025-08-05
ELV.NYSE,"Elevance Health, Inc.",36.559999999999995,2025-10-13,2025-10-16
AVGO.NAS,Broadcom Inc.,33.34,2025-08-29,2025-09-03
PARA.NAS,Paramount Global,33.34,2025-07-28,2025-07-31
MNST.NAS,Monster Beverage Corporation,31.19,2025-11-03,2025-11-06
VST.NYSE,Vistra Corp.,31.19,2025-11-03,2025-11-06
PLTR.NAS,Palantir Technologies Inc.,31.19,2025-10-29,2025-11-03
AON.NYSE,Aon plc,31.19,2025-10-21,2025-10-24
WSM.NYSE,"Williams-Sonoma, Inc.",31.19,2025-08-25,2025-08-28
WFC.NYSE,Wells Fargo & Company,31.19,2025-07-10,2025-07-15
GRMN.NYSE,Garmin Ltd.,31.19,2025-10-24,2025-10-29
KVUE.NYSE,Kenvue Inc.,31.19,2025-11-03,2025-11-06
KEY.NYSE,KeyCorp,31.19,2025-10-13,2025-10-16
KEYS.NYSE,"Keysight Technologies, Inc.",31.19,2025-08-14,2025-08-19
JCI.NYSE,Johnson Controls International plc,31.19,2025-07-24,2025-07-29
JBL.NYSE,Jabil Inc.,31.19,2025-09-19,2025-09-24
APH.NYSE,Amphenol Corporation,31.19,2025-10-17,2025-10-22
TPR.NYSE,"Tapestry, Inc.",31.19,2025-08-11,2025-08-14
AXON.NAS,"Axon Enterprise, Inc.",31.19,2025-07-30,2025-08-04
PAYC.NYSE,"Paycom Software, Inc.",31.19,2025-10-31,2025-11-05
WBD.NAS,"Warner Bros. Discovery, Inc.",31.19,2025-11-03,2025-11-06
WDC.NAS,Western Digital Corporation,31.19,2025-10-20,2025-10-23
NVDA.NAS,NVIDIA Corporation,31.19,2025-08-22,2025-08-27
EXPE.NAS,"Expedia Group, Inc.",31.19,2025-11-03,2025-11-06
GL.NYSE,Globe Life Inc.,31.19,2025-10-17,2025-10-22
DLR.NYSE,"Digital Realty Trust, Inc.",31.19,2025-10-20,2025-10-23
DPZ.NAS,"Domino's Pizza, Inc.",31.19,2025-10-06,2025-10-09
INTU.NAS,Intuit Inc.,31.19,2025-08-18,2025-08-21
NCLH.NYSE,Norwegian Cruise Line Holdings Ltd.,31.19,2025-10-27,2025-10-30
SRE.NYSE,Sempra,31.19,2025-10-31,2025-11-05
SBUX.NAS,Starbucks Corporation,31.19,2025-10-23,2025-10-28
